METERHEAD;R_MF_9A_6P;R_MF_6P_10;R_SA_9A_6P;R_SA_6P_10;R_SU_9A_6P;R_SU_6P_10;RATE_MISC;TIMEINEFFE;T_MF_9A_6P;T_MF_6P_10;T_SA_9A_6P;T_SA_6P_10;T_SU_9A_6P;T_SU_6P_10;TIME_MISC;CREDITCARD;PAY_PHONE;Geom;Geo Local Area;METERID;geo_point_2d
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56224;"{""coordinates"": [-123.0990368441752, 49.26307290539709], ""type"": ""Point""}";Mount Pleasant;9A2419;49.26307290539709, -123.0990368441752
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;$1.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No Time Limit;Yes;57913;"{""coordinates"": [-123.1067025151474, 49.264140764627804], ""type"": ""Point""}";Mount Pleasant;762312;49.264140764627804, -123.1067025151474
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;$1.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;26 Hrs;26 Hrs;26 Hrs;26 Hrs;26 Hrs;26 Hrs;26 Hrs;Yes;59841;"{""coordinates"": [-123.10552996867274, 49.26563893131103], ""type"": ""Point""}";Mount Pleasant;B60007;49.26563893131103, -123.10552996867274
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;$1.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;26 Hrs;26 Hrs;26 Hrs;26 Hrs;26 Hrs;26 Hrs;No Time Limit;Yes;69925;"{""coordinates"": [-123.08704573432506, 49.28166460323956], ""type"": ""Point""}";Strathcona;HK0308;49.28166460323956, -123.08704573432506
Twin;$8.00;$5.00;$8.00;$5.00;$8.00;$5.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53456;"{""coordinates"": [-123.12422909530925, 49.26013462081089], ""type"": ""Point""}";Fairview;832810;49.26013462081089, -123.12422909530925
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56639;"{""coordinates"": [-123.11625797677617, 49.264931020829636], ""type"": ""Point""}";Fairview;B70516;49.264931020829636, -123.11625797677617
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56589;"{""coordinates"": [-123.11607948974203, 49.26492746727578], ""type"": ""Point""}";Fairview;B70514;49.26492746727578, -123.11607948974203
Single Motorbike;$2.50;$ .50;$2.50;$ .50;$2.50;$ .50;$2.50;METER IN EFFECT: 9:00 AM TO 10:00 PM;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No;57243;"{""coordinates"": [-123.13976625733984, 49.26971538431787], ""type"": ""Point""}";Fairview;B21599;49.26971538431787, -123.13976625733984
Single;$5.00;$1.00;$5.00;$1.00;$5.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;57451;"{""coordinates"": [-123.13967764222792, 49.26971314372891], ""type"": ""Point""}";Fairview;B21533;49.26971314372891, -123.13967764222792
Twin;$5.00;$1.00;$5.00;$1.00;$5.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;57543;"{""coordinates"": [-123.13951918948676, 49.26970865766531], ""type"": ""Point""}";Fairview;B21531;49.26970865766531, -123.13951918948676
Single Motorbike;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No;67992;"{""coordinates"": [-123.12379984536537, 49.27360802267791], ""type"": ""Point""}";Downtown;170297;49.27360802267791, -123.12379984536537
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50885;"{""coordinates"": [-123.10939247280244, 49.26277111269245], ""type"": ""Point""}";Mount Pleasant;522508;49.26277111269245, -123.10939247280244
