METERHEAD,R_MF_9A_6P,R_MF_6P_10,R_SA_9A_6P,R_SA_6P_10,R_SU_9A_6P,R_SU_6P_10,RATE_MISC,TIMEINEFFE,T_MF_9A_6P,T_MF_6P_10,T_SA_9A_6P,T_SA_6P_10,T_SU_9A_6P,T_SU_6P_10,TIME_MISC,CREDITCARD,PAY_PHONE,Geom,Geo Local Area,METERID,geo_point_2d,lon,lat
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,No Time Limit,Yes,66616,"""{""""coordinates"""": [-123.12930608441286, 49.27431506772342], """"type"""": """"Point""""}""",Downtown,RL1418,"49.27431506772342, -123.12930608441286",-123.12930608441286,49.27431506772342
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,59927,"""{""""coordinates"""": [-123.10053942967477, 49.251218152979874], """"type"""": """"Point""""}""",Riley Park,E20205,"49.251218152979874, -123.10053942967477",-123.10053942967477,49.251218152979874
Twin,$3.00,$5.00,$3.00,$5.00,$3.00,$5.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,50576,"""{""""coordinates"""": [-123.1470790177366, 49.26812667811388], """"type"""": """"Point""""}""",Kitsilano,B41825,"49.26812667811388, -123.1470790177366",-123.1470790177366,49.26812667811388
Single,$1.00,$3.00,$1.00,$3.00,$1.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,65052,"""{""""coordinates"""": [-123.1290074521498, 49.27680580937936], """"type"""": """"Point""""}""",Downtown,170802,"49.27680580937936, -123.1290074521498",-123.1290074521498,49.27680580937936
Twin,$1.00,$3.00,$1.00,$3.00,$1.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,65054,"""{""""coordinates"""": [-123.1292356436486, 49.276952139939944], """"type"""": """"Point""""}""",Downtown,170810,"49.276952139939944, -123.1292356436486",-123.1292356436486,49.276952139939944
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,No Time Limit,Yes,59877,"""{""""coordinates"""": [-123.09390295477085, 49.21069654461014], """"type"""": """"Point""""}""",Sunset,SG8208,"49.21069654461014, -123.09390295477085",-123.09390295477085,49.21069654461014
Pay Station,$11.00,$4.00,$11.00,$4.00,$11.00,$4.00,$5.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,66602,"""{""""coordinates"""": [-123.1205470474078, 49.28591208469209], """"type"""": """"Point""""}""",Downtown,101024,"49.28591208469209, -123.1205470474078",-123.1205470474078,49.28591208469209
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,59830,"""{""""coordinates"""": [-123.10282167910016, 49.271264721368624], """"type"""": """"Point""""}""",Mount Pleasant,SW0030,"49.271264721368624, -123.10282167910016",-123.10282167910016,49.271264721368624
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,59957,"""{""""coordinates"""": [-123.105343647471, 49.269368286313174], """"type"""": """"Point""""}""",Mount Pleasant,B20015,"49.269368286313174, -123.105343647471",-123.105343647471,49.269368286313174
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,59948,"""{""""coordinates"""": [-123.1054910629438, 49.26915599109916], """"type"""": """"Point""""}""",Mount Pleasant,B20008,"49.26915599109916, -123.1054910629438",-123.1054910629438,49.26915599109916
