Block,Street,lat,lon
2100,E 6TH AVE,49.26545458360071,-123.09793894839464
1500,E 32ND AVE,49.24169369965523,-123.08816048101498
2200,E 44TH AVE,49.230143914748496,-123.09395844110165
1200,PACIFIC BLVD,49.273492251728335,-123.12367410015517
1700,CHARLES ST,49.27316304134922,-123.0789221961938
4500,GLADSTONE ST,49.24836521765495,-123.06050192799655
600,W 45TH AVE,49.23098364667928,-123.16883587026294
6100,ASH ST,49.234556833243914,-123.11784027039413
6200,ASH ST,49.234556833243914,-123.11784027039413
600,E BROADWAY,49.262535856467814,-123.08996222928953
3400,E BROADWAY,49.262535856467814,-123.08996222928953
1700,W BROADWAY,49.263649475047416,-123.1389344042681
1100,W 11TH AVE,49.26278126382685,-123.20060620052341
6300,CAMBIE ST,49.2492150960783,-123.11539090524424
1500,FRANCES ST,49.279434856630814,-123.0737904824798
800,BROUGHTON ST,49.287241625731355,-123.13097537031018
500,KEEFER ST,49.27922249467093,-123.1035282339291
500,HAWKS AVE,49.27788632529206,-123.0872870958922
900,W 20TH AVE,49.2546892640869,-123.18756575484858
3000,MAIN ST,49.264741967509515,-123.1009572308099
3100,LAUREL ST,49.24989484740089,-123.12469369334647
1800,ROBSON ST,49.29243851667212,-123.13692796815148
1500,COAL HARBOUR QUAY,49.29148708342742,-123.12807201626791
1200,W CORDOVA ST,49.28775548425263,-123.1166327266634
100,E HASTINGS ST,49.2812351,-123.1020834
1100,THORNTON ST,49.27166965,-123.0933326
1200,VERNON DRIVE,49.280369482785666,-123.07910136652104
1500,E 4TH AVE,49.26733684006582,-123.10177691347558
0,W PENDER ST,49.29034197349868,-123.12990431435257
700,QUEBEC ST,49.271086992086865,-123.10239064507557
100,KEEFER ST,49.27922249467093,-123.1035282339291
1200,HOMER ST,49.27373329017452,-123.12554583128659
1100,PACIFIC BLVD,49.273492251728335,-123.12367410015517
1600,GRANT ST,49.27148204398399,-123.07544380736825
1100,COMMERCIAL DRIVE,49.25649399485546,-123.06985350204602
1600,E 11TH AVE,49.26061466197664,-123.08822625059318
300,KEEFER ST,49.27922249467093,-123.1035282339291
2100,CORNWALL AVE,49.272527866758566,-123.15140247306292
1300,LABURNUM ST,49.22801315482695,-123.15087975150209
0,E 1ST AVE,49.26961300458511,-123.07013205149656
100,E 1ST AVE,49.26961300458511,-123.07013205149656
100,W 1ST AVE,49.27115066311537,-123.14084618378423
4600,SIDNEY ST,49.2440965866287,-123.06414596226035
500,MALKIN AVE,49.27439680150983,-123.086691767766
400,BEACH CRESCENT,49.272216569484584,-123.1279155660227
400,PACIFIC ST,49.27411448989875,-123.12811737133056
1000,SEYMOUR ST,49.28386252193256,-123.1141175463516
0,W 5TH AVE,49.26653047663682,-123.10709823256131
1900,NELSON ST,49.28663422573088,-123.13439612729385
2500,BIRCH ST,49.266700814991346,-123.13322355075118
2700,BIRCH ST,49.266700814991346,-123.13322355075118
1100,W HASTINGS ST,49.281125450000005,-123.0235139
700,GRANVILLE ST,49.25901295951559,-123.13874691672915
1600,BAYSHORE DR,49.2919642405694,-123.1314034009182
1400,GRANT ST,49.27148204398399,-123.07544380736825
100,VICTORIA DRIVE,49.2460053912135,-123.06508605765929
2200,W 3RD AVE,49.26885462785312,-123.13918976627207
3400,W 4TH AVE,49.268372708414766,-123.16802979988441
1100,E 7TH AVE,49.264326777945506,-123.08808173629431
2700,CAROLINA ST,49.26528011809774,-123.09102024702057
3300,PRINCE EDWARD ST,49.22974799380274,-123.09735979307848
3500,INVERNESS ST,49.23284515702166,-123.07980512058893
1600,SALT ST,49.270913792719774,-123.10609441719593
1700,COLUMBIA ST,49.26324444369478,-123.10946385027341
400,W 28TH AVE,49.247115907458166,-123.18197003463287
600,STAMPS LANDING,49.26863461197093,-123.11807941564143
1400,HORNBY ST,49.27775938621518,-123.12922779155286
1000,BEACH AVE,49.2750509,-123.13508540212362
700,HORNBY ST,49.27775938621518,-123.12922779155286
500,DENMAN ST,49.293252185071,-123.13278832372042
1800,PENDRELL ST,49.28943044828831,-123.14302415129735
1700,PENDRELL ST,49.28943044828831,-123.14302415129735
1700,DAVIE ST,49.27359439420446,-123.12061726969179
1600,DAVIE ST,49.27359439420446,-123.12061726969179
600,CITADEL PARADE,49.279446783637724,-123.11007487102933
600,RAYMUR AVE,49.277098086044454,-123.08258643871731
500,RAYMUR AVE,49.277098086044454,-123.08258643871731
100,WATER ST,49.2873927,-122.83547490000001
300,WATER ST,49.2842334,-123.109032
0,W CORDOVA ST,49.28775548425263,-123.1166327266634
200,COLUMBIA ST,49.286953,-123.1140827
0,ALEXANDER ST,49.284078819708526,-123.09828543289301
1000,MARINASIDE CRESCENT,49.272430446604425,-123.12072587385262
1100,MARINASIDE CRESCENT,49.272430446604425,-123.12072587385262
1400,RICHARDS ST,49.28389251320959,-123.11219890599861
1100,DAVIE ST,49.2804176,-123.13153
1200,THURLOW ST,49.284435007954905,-123.12510257255244
1000,THURLOW ST,49.284435007954905,-123.12510257255244
2200,FIR ST,49.26508537593947,-123.14080772960756
1600,W 5TH AVE,49.26653047663682,-123.10709823256131
2500,STEPHENS ST,49.27062144655092,-123.16629649897213
2900,W BROADWAY,49.263649475047416,-123.1389344042681
2500,CARNARVON ST,49.253972446167126,-123.1728867058797
2300,W 8TH AVE,49.26445433343878,-123.1349402207505
2500,TRAFALGAR ST,49.249591450185505,-123.16534468097971
